trait_type_resource,trait_resource,trait_type_consumer,trait_consumer
size_category,giant_suspension,size_category,mega
size_category,mega,size_category,mega
size_category,giant,size_category,mega
size_category,large,size_category,mega
size_category,medium,size_category,mega
size_category,macro,size_category,mega
size_category,micro,size_category,mega
size_category,primary,size_category,mega
size_category,giant_suspension,size_category,giant
size_category,giant,size_category,giant
size_category,large,size_category,giant
size_category,medium,size_category,giant
size_category,small,size_category,giant
size_category,macro,size_category,giant
size_category,micro,size_category,giant
size_category,primary,size_category,giant
size_category,large,size_category,large
size_category,medium,size_category,large
size_category,small,size_category,large
size_category,tiny,size_category,large
size_category,macro,size_category,large
size_category,micro,size_category,large
size_category,primary,size_category,large
size_category,medium,size_category,medium
size_category,small,size_category,medium
size_category,tiny,size_category,medium
size_category,macro,size_category,medium
size_category,micro,size_category,medium
size_category,primary,size_category,medium
size_category,small,size_category,small
size_category,tiny,size_category,small
size_category,macro,size_category,small
size_category,micro,size_category,small
size_category,primary,size_category,small
size_category,tiny,size_category,tiny
size_category,macro,size_category,tiny
size_category,micro,size_category,tiny
size_category,primary,size_category,tiny
size_category,micro,size_category,macro
size_category,primary,size_category,macro
size_category,primary,size_category,micro
vertical_position,pelagic,vertical_position,pelagic
vertical_position,benthopelagic,vertical_position,pelagic
vertical_position,benthopelagic,vertical_position,benthic
vertical_position,benthic,vertical_position,benthic
vertical_position,pelagic,vertical_position,benthopelagic
vertical_position,benthopelagic,vertical_position,benthopelagic
vertical_position,benthic,vertical_position,benthopelagic
depth_distribution,neritic,depth_distribution,neritic
depth_distribution,neritic_twilight,depth_distribution,neritic
depth_distribution,neritic_twilight_midnight,depth_distribution,neritic
depth_distribution,neritic,depth_distribution,neritic_twilight
depth_distribution,neritic_twilight,depth_distribution,neritic_twilight
depth_distribution,neritic_twilight_midnight,depth_distribution,neritic_twilight
depth_distribution,twilight,depth_distribution,neritic_twilight
depth_distribution,twilight_midnight,depth_distribution,neritic_twilight
depth_distribution,neritic,depth_distribution,neritic_twilight_midnight
depth_distribution,neritic_twilight,depth_distribution,neritic_twilight_midnight
depth_distribution,neritic_twilight_midnight,depth_distribution,neritic_twilight_midnight
depth_distribution,twilight,depth_distribution,neritic_twilight_midnight
depth_distribution,twilight_midnight,depth_distribution,neritic_twilight_midnight
depth_distribution,midnight,depth_distribution,neritic_twilight_midnight
depth_distribution,neritic_twilight,depth_distribution,twilight
depth_distribution,neritic_twilight_midnight,depth_distribution,twilight
depth_distribution,twilight,depth_distribution,twilight
depth_distribution,twilight_midnight,depth_distribution,twilight
depth_distribution,neritic_twilight,depth_distribution,twilight_midnight
depth_distribution,neritic_twilight_midnight,depth_distribution,twilight_midnight
