genus,size_category,feeding_habit,vertical_position,depth_distribution
Astroscopus,tiny,actinopterygii_actinopterygii,benthic,neritic
Kathetostoma,tiny,actinopterygii_actinopterygii,benthic,neritic_twilight
Lophius,small,actinopterygii_actinopterygii,benthic,neritic_twilight
Platybelone,tiny,actinopterygii_actinopterygii,benthopelagic,neritic
Pomatomus,small,actinopterygii_actinopterygii,pelagic,neritic
Pristipomoides,tiny,actinopterygii_actinopterygii,benthopelagic,neritic_twilight
Synodus,tiny,actinopterygii_actinopterygii,benthopelagic,neritic
Acanthocybium,small,actinopterygii_cephalopoda_actinopterygii,pelagic,neritic
Dentex,tiny,actinopterygii_cephalopoda_actinopterygii,benthopelagic,neritic
Istiophorus,medium,actinopterygii_cephalopoda_actinopterygii,pelagic,neritic
Merluccius,small,actinopterygii_cephalopoda_actinopterygii,pelagic,neritic_twilight_midnight
Sarda,tiny,actinopterygii_cephalopoda_actinopterygii,pelagic,neritic
Seriola,small,actinopterygii_cephalopoda_actinopterygii,benthopelagic,neritic
Xiphias,medium,actinopterygii_cephalopoda_actinopterygii,pelagic,neritic_twilight_midnight
Aluterus,tiny,actinopterygii_herbivore,benthopelagic,neritic
Archosargus,tiny,actinopterygii_herbivore_macroinvertebrates,benthopelagic,neritic
Lagodon,tiny,actinopterygii_herbivore_macroinvertebrates,benthic,neritic
Opsanus,tiny,actinopterygii_herbivore_macroinvertebrates_actinopterygii,benthic,neritic
Acipenser,medium,actinopterygii_macroinvertebrates,benthic,neritic
Cepola,tiny,actinopterygii_macroinvertebrates,benthic,neritic
Chilomycterus,tiny,actinopterygii_macroinvertebrates,benthopelagic,neritic
Gadiculus,tiny,actinopterygii_macroinvertebrates,benthic,neritic_twilight
Holocentrus,tiny,actinopterygii_macroinvertebrates,benthic,neritic
Neobythites ,tiny,actinopterygii_macroinvertebrates,benthopelagic,neritic_twilight_midnight
Stenotomus,tiny,actinopterygii_macroinvertebrates,benthopelagic,neritic
Symbolophorus,tiny,actinopterygii_macroinvertebrates,benthopelagic,neritic_twilight
Vinciguerria,tiny,actinopterygii_macroinvertebrates,benthic,twilight_midnight
Argentina,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic_twilight
Arnoglossus,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic
Bagre,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic
Brotula,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic_twilight
Caranx,small,actinopterygii_macroinvertebrates_actinopterygii,pelagic,neritic
Centropristis,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic
Lutjanus ,small,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic
Megalops ,small,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic
Melanogrammus,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic_twilight
Micropogonias,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic
Mycteroperca,small,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic
Orthopristis,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic
Pagellus,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic_twilight
Pogonias,small,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic
