genus,size_category,feeding_habit,vertical_position,depth_distribution
Acanthocybium,small,actinopterygii_cephalopoda_actinopterygii,pelagic,neritic
Acanthurus,tiny,actinopterygii_herbivore,benthopelagic,neritic
Acipenser,medium,actinopterygii_macroinvertebrates,benthic,neritic
Albula,tiny,actinopterygii_macroinvertebrates,benthic,neritic
Alosa,tiny,actinopterygii_microinvertebrates_macroinvertebrates_actinopterygii,pelagic,neritic
Aluterus,tiny,actinopterygii_herbivore,benthopelagic,neritic
Ammodytes,tiny,actinopterygii_microinvertebrates,benthopelagic,neritic
Anchoa ,tiny,actinopterygii_microinvertebrates,pelagic,neritic
Anisotremus,tiny,actinopterygii_macroinvertebrates,benthic,neritic
Apogon,tiny,actinopterygii_microinvertebrates,benthopelagic,neritic
Archosargus,tiny,actinopterygii_herbivore_macroinvertebrates,benthopelagic,neritic
Argentina,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic_twilight
Ariosoma,tiny,actinopterygii_microinvertebrates_macroinvertebrates_actinopterygii,benthic,neritic_twilight
Arnoglossus,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic
Astroscopus,tiny,actinopterygii_actinopterygii,benthic,neritic
Atherinomorus,tiny,actinopterygii_microinvertebrates,benthopelagic,neritic
Auxis,tiny,actinopterygii_cephalopoda_actinopterygii,pelagic,neritic
Bagre,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic
Bairdiella,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic
Balistes,tiny,actinopterygii_macroinvertebrates,benthic,neritic
Bathyclupea,tiny,NA,NA,twilight
Benthosema,tiny,actinopterygii_microinvertebrates,pelagic,neritic_twilight_midnight
Bolinichthys,tiny,actinopterygii_microinvertebrates,pelagic,twilight
Bregmaceros,tiny,actinopterygii_microinvertebrates,NA,neritic_twilight
Brevoortia ,tiny,actinopterygii_microinvertebrates,pelagic,neritic
Brotula,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic_twilight
Caranx,small,actinopterygii_macroinvertebrates_actinopterygii,pelagic,neritic
Carapus,tiny,actinopterygii_actinopterygii,benthopelagic,neritic
Caulolatilus,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic
Centropomus,small,actinopterygii_macroinvertebrates_actinopterygii,NA,neritic
