taxon,motility,tiering,feeding,size
Ammonite_1,slow,pelagic,predator,small
Ammonite_2,slow,pelagic,predator,medium
Ammonite_3,slow,pelagic,predator,large
Belemnite_3,fast,pelagic,predator,gigantic
Belemnite_2,fast,pelagic,predator,very_large
Belemnite_1,fast,pelagic,predator,large
Bivalve_1,slow,shallow_infaunal,suspension,small
Bivalve_2,facultative,surficial,deposit,medium
Bivalve_3,facultative,shallow_infaunal,mining,small
Bivalve_4,slow,shallow_infaunal,mining,medium
Bivalve_5,slow,shallow_infaunal,mining,small
Bivalve_6,slow,shallow_infaunal,mining,tiny
Bivalve_7,facultative,deep_infaunal,suspension,medium
Bivalve_8,facultative,deep_infaunal,suspension,medium
Bivalve_9,slow,deep_infaunal,suspension,large
Bivalve_10,slow,deep_infaunal,suspension,medium
Bivalve_11,nonmotile,erect,suspension,very_large
Bivalve_12,nonmotile,semi-infaunal,suspension,large
Bivalve_13,facultative,shallow_infaunal,suspension,medium
Bivalve_14,facultative,shallow_infaunal,suspension,small
Bivalve_15,facultative,surficial,suspension,large
Bivalve_16,facultative,surficial,suspension,medium
Bivalve_17,facultative,surficial,suspension,small
Bivalve_18,facultative,surficial,suspension,tiny
Bivalve_19,facultative,surficial,suspension,large
Bivalve_20,nonmotile,surficial,suspension,medium
Bivalve_21,nonmotile,surficial,suspension,small
Bivalve_22,nonmotile,surficial,suspension,large
Bivalve_23,nonmotile,surficial,suspension,small
Brachiopod_1,nonmotile,surficial,suspension,small
Crinoid_1,facultative,erect,suspension,medium
Crinoid_2,facultative,erect,suspension,small
Crustacean_1,fast,semi-infaunal,predator,large
Crustacean_2,fast,semi-infaunal,predator,medium
Crustacean_3,fast,semi-infaunal,predator,medium
Crustacean_4,fast,semi-infaunal,predator,small
Fish_1,fast,pelagic,predator,large
Gastropod_1,slow,surficial,grazer,tiny
Gastropod_2,slow,surficial,predator,tiny
Gastropod_3,facultative,surficial,suspension,tiny
Ophiuroid_1,slow,surficial,predator,medium
Scaphopod_1,facultative,semi-infaunal,predator,small
Serpulid_1,nonmotile,surficial,suspension,small
Soft_1,slow,surficial,grazer,medium
Soft_2,slow,surficial,grazer,small
Soft_3,slow,shallow_infaunal,mining,small
Soft_4,slow,deep_infaunal,suspension,small
BASAL_NODE,primary,primary,primary,primary
